Nom;Prof;NB groupe;Creneau;Spe;Annee
Big Data;Ahmed Samet;2;2,3;G,GC,GCE,GE,GM,MIQ,PL;3
Intercultural management;Eric Schenk ;1;4;G,GC,GCE,GE,GM,MIQ,PL;3
Corporate social responsibility - RSE;Eric Schenk ;1;4;G,GC,GCE,GE,GM,MIQ,PL;3
Lean Construction : les fondamentaux;Georg KOVAL;2;2,3;G,GC,GCE,GE;3
Analyse exergétique et efficacité des systèmes et dans les bâtiments;Rahal BOUSSEHAIN;1;1;GCE,GE,GM;3
Initiation au BIM;Tania LANDES;2;4;G,GC,GCE,GE;3
Projet informatique utilisant des bases de données;Amadou COULIBALY;1;2;G,GC,GCE,GE,GM,MIQ,PL;3
Programmation C/C++;Juan-Carlos QUEZADA;1;1;G,GC,GCE,GE,GM,MIQ,PL;3
Initiation à l’algorithmique;Juan Carlos QUEZADA;1;3;G,GC,GCE,GE,GM,MIQ,PL;3
Entrepreneuriat 1 – De l’idée au marché;David OGET;2;1,2;G,GC,GCE,GE,GM,MIQ,PL;3
Pratique des plastiques en Projet;Richard SAUMON;2;1,5;G,GC,GCE,GE,GM,MIQ,PL;3
Engagement Associatif;Nathalie GARTISER;1;6;G,GC,GCE,GE,GM,MIQ,PL;3
LV2 Espagnol Intermédiaire et avancé;Floriane BALLOT-BUOB;1;3;G,GC,GCE,GE,GM,MIQ,PL;3
LV3 Espagnol Débutant;Floriane BALLOT-BUOB;1;5;G,GC,GCE,GE,GM,MIQ,PL;3
Participation aux concours;Marc VEDRINES;1;6;G,GC,GCE,GE,GM,MIQ,PL;3
Initiation aux réseaux de chauffage, sanitaire et ventilation;Denis BURGER;1;1;G,GC,GCE,GE,GM,MIQ,PL;3
Développement d’applications mobiles pour l’ingénierie;Amadou COULIBALY;1;3;G,GC,GCE,GE,GM,MIQ,PL;3
Inventive Design & Innovation;Denis CAVALLUCCI;1;1;G,GC,GCE,GE,GM,MIQ,PL;3
Savoir Négocier pour réussir;Nathalie KOWES-GAST;2;1,3;G,GC,GCE,GE,GM,MIQ,PL;3
Stratégies de Négociation pour l’Ingénieur;Nathalie KOWES-GAST;1;2;G,GC,GCE,GE,GM,MIQ,PL;3
Programmation Bas Niveau;Bertrand BOYER;1;1;GE,MIQ;3
Thermographie infrarouge;Rahal BOUSSEHAIN;1;2;GC,GCE,GM,PL;3
Work shop Design 1;Hervé Pelletier;1;1;GM,MIQ,PL;3
