Nom;Creneau;spe;ann�e;nb min;nb opt;nb max
Arduino ;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Initiation aux me?canismes ;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Introduction a? la robotique 1 ;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
LV2 Allemand 2LF ;1,2;G,GC,GCE,GE;3,4;15;20;25
LV2 Allemand Interme?diaire & avance? ;1,2;G,GCE,GE,GM;2,3,4;15;20;25
LV2 Espagnol Interme?diaire et avance? ;1,2;G,GC,GCE,GE;2,3,4;15;20;22
Maquette nume?rique 1 ;1,2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Mode?lisation mathe?matique ;1,2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Participation aux concours ;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Initiation � la topographie;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Apprendre � dessiner et communiquer graphiquement;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Entrepreneuriat 1 - Du marche? a? l�ide?e;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Negotiate to succeed ;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;12;20;25
Parcours d'excellence sportive;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;12;20;25
Outils num�riques au service de la 3D;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;10;20;25
LV2 Espagnol Interm�diaire et avanc�;1,2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Arduino Maker;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Parcours d'excellence sportive;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Conception inventive et innovation 1;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Initiation � la Plasturgie;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Pratique des silicones et composites;1,2;GE,MIQ;3,4;15;20;25
LV2 Allemand 2LF;1,2;GC,GCE,GM,MIQ,PL;3,4;15;20;25
LV2 Allemand Interm�diaire & avanc�;1,2;GM,MIQ,PL;3,4;15;20;25
Image(s) of the engineer;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Maquette num�rique 2;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Electrical Engineering Fundamentals;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Entrepreneuriat 1 - De l�ide?e au marche?;1,2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;5;20;30
Tutorat;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Introduction au design;1,2;G,GC,GCE,GM,MIQ,PL;2,3,4;15;20;25
Engagement associatif;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Participation aux concours;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Energie �lectrique renouvelable;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Interculturalit�;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Formation dipl�mante PRAP;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Apprendre � dessiner et communiquer graphiquement;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Expression th��trale;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Formation dipl�mante PRAP;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Histoire du design;1,2;G,GC,GCE,GE;3,4;15;20;25
Initiation a? Msc PATRAN (calculs EF) ;1,2;G,GCE,GE,GM;2,3,4;15;20;25
Interculturalit� DI avanc� (cycle 1);1,2;G,GC,GCE,GE;2,3,4;15;20;22
LV2 Allemand 2LF ;1,2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
LV2 Espagnol Interme?diaire et avance? ;1,2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Maquette nume?rique 3 ;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Participation aux concours ;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Pratique des plastiques en projet;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Pratique des silicones et composites;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Introduction � la programmation Python;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;12;20;25
Tutorat ;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;12;20;25
De Kepler aux satellites GPS;1,2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;10;20;25
Bases de Donn�es Avanc�es et Applications mobiles;1;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Design : �tude de cas ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Entrepreneuriat 1 - Du march� � l'id�e;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
LV2 Allemand 2LF ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
LV2 Allemand de?butant ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
LV2 Allemand Interme?diaire & avance? ;1;GE,MIQ;3,4;15;20;25
LV2 Espagnol Interme?diaire et avance? ;1;GC,GCE,GM,MIQ,PL;3,4;15;20;25
LV3 Espagnol De?butant ;1;GM,MIQ,PL;3,4;15;20;25
Pathologie des ouvrages ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
PPI (Projet Professionnel Individualise?);1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Relations professionnelles  ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Internet des objets;1;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;5;20;30
Cycle 2 Se?curite? ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Interculturalit� DI avanc� (cycle 2);1;G,GC,GCE,GM,MIQ,PL;2,3,4;15;20;25
Atelier pratique d'architecture 1;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Biome?canique ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Construisez votre propre Linux;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Energies Renouvelables;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Filmer la science;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Formation dipl�mante PRAP;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Inge?nierie collaborative ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Initiation a? l'algorithmique ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Initiation a? Msc PATRAN (calculs EF) ;1;G,GC,GCE,GE;3,4;15;20;25
Management of Innovation;1;G,GCE,GE,GM;2,3,4;15;20;25
Negotiate to succeed ;1;G,GC,GCE,GE;2,3,4;15;20;22
Participation aux concours ;2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Pratique des plastiques en projet;2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Parcours d'excellence sportive;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Statistiques ;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Introduction � l�informatique quantique;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Programmation C/C++;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
LV2 Espagnol Interm�diaire et avanc�;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;12;20;25
LV3 Espagnol D�butant;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;12;20;25
Analyse �xerg�tique et efficacit�  des syst�mes;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;10;20;25
Thermographie infrarouge;2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Programmation bas niveau;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Parcours d'excellence sportive;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Initiation aux r�seaux de chauffage, sanitaire et ventilation;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Inventive Design and Innovation;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Bases de donn�es avanc�es et applications mobiles;2;GE,MIQ;3,4;15;20;25
LV2 Allemand 2LF;2;GC,GCE,GM,MIQ,PL;3,4;15;20;25
LV2 Allemand d�butant;2;GM,MIQ,PL;3,4;15;20;25
LV2 Allemand Interm�diaire & avanc�;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Negotiate to succeed;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Negotiation Strategies for Engineers;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Mod�lisation 4D sous Maya;2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;5;20;30
Lean Construction : les fondamentaux;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Entrepreneuriat 1 - De l�ide?e au marche?;2;G,GC,GCE,GM,MIQ,PL;2,3,4;15;20;25
Tutorat;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Design Workshop 1;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Programmation C/C++;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Big Data;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Pratique des plastiques en projet;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Intercultural management (Management Interculturel);2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Engagement associatif;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Participation aux concours;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Bachelor Deutschinsa;2;G,GC,GCE,GE;3,4;15;20;25
Formation dipl�mante PRAP;2;G,GCE,GE,GM;2,3,4;15;20;25
Initiation au BIM (Building Information Modeling);2;G,GC,GCE,GE;2,3,4;15;20;22
Pratique des silicones et composites;2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
LV3 Espagnol De?butant;2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
Approches pluridisciplinaires de l�environnement: de la construction scientifique � la construction sociale du changement climatique ;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Conception inventive et innovation;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
E?clairage naturel ;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Entrepreneuriat 2 ;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;22
Expression th��trale;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;12;20;25
LV2 Allemand 2LF ;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;12;20;25
LV2 Allemand ex-de?butant;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;10;20;25
LV2 Allemand Interme?diaire & avance? ;2;G,GC,GCE,GE,GM,MIQ,PL;2,3,4;15;20;25
LV2 Espagnol Interme?diaire et avance? ;2;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Machine Learning;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
M�moire Deutschinsa;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
Mode?lisation surfacique par maillage ;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
TOEIC;1;GE,MIQ;3,4;15;20;25
Tutorat ;1;GC,GCE,GM,MIQ,PL;3,4;15;20;25
Le m�tier d�ing�nieur d�affaires;1;GM,MIQ,PL;3,4;15;20;25
BIM 2 - Maquette num�rique;1;G,GC,GCE,GE,GM,MIQ,PL;1,2,3,4;15;20;25
